date,actual,predicted
2025-02-13,6114.6298828125,4400.659
2025-02-14,6129.580078125,4240.261
2025-02-18,6144.14990234375,4149.807
2025-02-19,6117.52001953125,3978.5034
2025-02-20,6013.1298828125,4016.335
2025-02-21,5983.25,4091.8289
2025-02-24,5955.25,4106.5024
2025-02-25,5956.06005859375,4028.1772
2025-02-26,5861.56982421875,3749.7815
2025-02-27,5954.5,3557.8123
2025-02-28,5849.72021484375,3697.518
2025-03-03,5778.14990234375,3586.5518
2025-03-04,5842.6298828125,3939.522
2025-03-05,5738.52001953125,3718.8027
2025-03-06,5770.2001953125,3826.5276
2025-03-07,5614.56005859375,3721.5168
2025-03-10,5572.06982421875,3882.496
2025-03-11,5599.2998046875,4063.6968
2025-03-12,5521.52001953125,3972.4521
2025-03-13,5638.93994140625,3785.9153
2025-03-14,5675.1201171875,3619.8833
2025-03-17,5614.66015625,3456.767
2025-03-18,5675.2900390625,3611.01
2025-03-19,5662.89013671875,3505.193
2025-03-20,5667.56005859375,3330.3247
2025-03-21,5767.56982421875,3377.822
2025-03-24,5776.64990234375,3471.9175
2025-03-25,5712.2001953125,3202.0784
2025-03-26,5693.31005859375,3153.2307
2025-03-27,5580.93994140625,3078.965
2025-03-28,5611.85009765625,3068.1558
2025-03-31,5633.06982421875,2946.5276
2025-04-01,5670.97021484375,2791.9695
2025-04-02,5396.52001953125,3199.8796
2025-04-03,5074.080078125,3853.3167
2025-04-04,5062.25,3339.3743
2025-04-07,4982.77001953125,3680.7642
2025-04-08,5456.89990234375,3423.699
2025-04-09,5268.0498046875,3137.4124
2025-04-10,5363.35986328125,3372.1462
2025-04-11,5405.97021484375,3607.3318
2025-04-14,5396.6298828125,3383.2217
2025-04-15,5275.7001953125,3335.83
2025-04-16,5282.7001953125,3441.5125
2025-04-17,5158.2001953125,3230.4958
2025-04-21,5287.759765625,2847.6206
2025-04-22,5375.85986328125,2834.781
2025-04-23,5484.77001953125,2920.8313
2025-04-24,5525.2099609375,2858.143
2025-04-25,5528.75,2745.6016
2025-04-28,5560.830078125,2817.9883
2025-04-29,5569.06005859375,2855.0166
